Listing Type,Price,Address,Beds,Baths,Sqft,Acre Lot
House for sale,"$126,000,000","9505 Gloaming Dr, Beverly Hills, CA 90210",8,20,30.610,"9,9"
House for sale,"$68,000,000","2571 Wallingford Dr, Beverly Hills, CA 90210",12,24,38.000,"5,2"
House for sale,"$85,000,000","1499 Blueridge Dr, Beverly Hills, CA 90210",13,16,28.000,"2,2"
House for sale,"$195,000,000","10644 Bellagio Rd, Los Angeles, CA 90077",7,20,N/A,"8,4"
House for sale,"$2,295,000","17846 Horace St, Granada Hills, CA 91344",6,5.5,3.345,9.706
Contingent,"$295,000","13691 Gavina Ave Unit 428, Sylmar, CA 91342",3,2,1.386,N/A
House for sale,"$89,900,000","73 Beverly Ln, Beverly Hills, CA 90210",9,12.5+,28.500,"2,68"
House for sale,"$115,000,000","10936 Chalon Rd, Los Angeles, CA 90077",9,13,14.941,"1,65"
House for sale,"$3,795,000","1847 Coldwater Canyon Dr, Beverly Hills, CA 90210",5,5.5,4.633,7.205
House for sale,"$139,000,000","1200 Bel Air Rd, Los Angeles, CA 90077",12,17,N/A,"2,08"
Multi-family home for sale,"$940,000","735 E 43rd Pl, Los Angeles, CA 90011",32,16,2.592,5.122
House for sale,"$4,299,950","10926 Cartwright Dr, Chatsworth, CA 91311",6,6.5,8.130,"0,53"
House for sale,"$3,995,000","6132 Warner Dr, Los Angeles, CA 90048",5,4.5,4.400,8.261
House for sale,"$1,799,000","17624 Martha St, Encino, CA 91316",3,3,2.250,5.596
House for sale,"$1,449,000","7907 Cowper Ave, West Hills, CA 91304",4,3,2.515,7.337
House for sale,"$2,600,000","4736 Corbin Ave, Tarzana, CA 91356",4,3,3.002,"0,55"
House for sale,"$1,699,000","2118 S Victoria Ave, Los Angeles, CA 90016",4,5,2.672,8.598
